instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t3.nano,$0.0111,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0222,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0444,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0704,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1316,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2816,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5632,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0209,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0418,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0652,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1212,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2608,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5216,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0095,1,0.5 GiB,EBS Only,Low
t2.micro,$0.019,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.038,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0756,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1432,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2714,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0111,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0222,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0444,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0704,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1316,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2816,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5632,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0209,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0418,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0652,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1212,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2608,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5216,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0095,1,0.5 GiB,EBS Only,Low
t2.micro,$0.019,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.038,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0756,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1432,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2714,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0111,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0222,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0444,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0704,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1316,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2816,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5632,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0209,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0418,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0652,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1212,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2608,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5216,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0095,1,0.5 GiB,EBS Only,Low
t2.micro,$0.019,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.038,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0756,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1432,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2714,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0111,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0222,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0444,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0704,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1316,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2816,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5632,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0209,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0418,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0652,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1212,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2608,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5216,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0095,1,0.5 GiB,EBS Only,Low
t2.micro,$0.019,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.038,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0756,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1432,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2714,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0111,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0222,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0444,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0704,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1316,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2816,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5632,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0209,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0418,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0652,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1212,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2608,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5216,8,32 GiB,EBS Only,Up to 5 Gigabit
t2.nano,$0.0095,1,0.5 GiB,EBS Only,Low
t2.micro,$0.019,1,1 GiB,EBS Only,Low to Moderate
t2.small,$0.038,1,2 GiB,EBS Only,Low to Moderate
t2.medium,$0.0756,2,4 GiB,EBS Only,Low to Moderate
t2.large,$0.1432,2,8 GiB,EBS Only,Low to Moderate
t2.xlarge,$0.2714,4,16 GiB,EBS Only,Moderate
t3.nano,$0.0111,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0222,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0444,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0704,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1316,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2816,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5632,8,32 GiB,EBS Only,Up to 5 Gigabit
t3a.nano,$0.0105,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3a.micro,$0.0209,2,1 GiB,EBS Only,Up to 5 Gigabit
t3a.small,$0.0418,2,2 GiB,EBS Only,Up to 5 Gigabit
t3a.medium,$0.0652,2,4 GiB,EBS Only,Up to 5 Gigabit
t3a.large,$0.1212,2,8 GiB,EBS Only,Up to 5 Gigabit
t3a.xlarge,$0.2608,4,16 GiB,EBS Only,Up to 5 Gigabit
t3a.2xlarge,$0.5216,8,32 GiB,EBS Only,Up to 5 Gigabit
